#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12524 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:84 out:84 type:B dur:2 cpbdur:2 q:34.27 aq:31.77 tex:10504 mv:6858 misc:2062 imb:32 pmb:703 smb:7425 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:34.29 aq:33.78 tex:3476 mv:4052 misc:1504 imb:22 pmb:394 smb:7744 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:34.25 aq:34.41 tex:4802 mv:2969 misc:1381 imb:13 pmb:342 smb:7805 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:33.81 aq:24.76 tex:127272 mv:14477 misc:4739 imb:511 pmb:1524 smb:6125 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:34.01 aq:32.56 tex:11026 mv:8141 misc:2377 imb:47 pmb:875 smb:7238 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:34.12 aq:34.16 tex:5775 mv:4146 misc:1599 imb:23 pmb:473 smb:7664 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:33.91 aq:33.83 tex:6210 mv:4995 misc:1875 imb:35 pmb:572 smb:7553 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:33.45 aq:23.69 tex:128043 mv:20950 misc:6935 imb:513 pmb:3109 smb:4538 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:33.63 aq:32.18 tex:13702 mv:9654 misc:2324 imb:50 pmb:948 smb:7162 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:33.72 aq:33.92 tex:3581 mv:4739 misc:1872 imb:22 pmb:531 smb:7607 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:33.54 aq:33.91 tex:4167 mv:5086 misc:1907 imb:27 pmb:576 smb:7557 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:33.10 aq:23.87 tex:127149 mv:19265 misc:6370 imb:550 pmb:2489 smb:5121 d:- ref:0 ;
